20211126-202244<ERROR:0000A97C>: GetInteger(161, Point_y) failed !
20211126-202244<ERROR:0000A97C>: GetString(161, Content) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(162, Type) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(162, Point_x) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(162, Point_y) failed !
20211126-202244<ERROR:0000A97C>: GetString(162, Content) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(163, Type) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(163, Point_x) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(163, Point_y) failed !
20211126-202244<ERROR:0000A97C>: GetString(163, Content) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(164, Type) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(164, Point_x) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(164, Point_y) failed !
20211126-202244<ERROR:0000A97C>: GetString(164, Content) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(165, Type) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(165, Point_x) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(165, Point_y) failed !
20211126-202244<ERROR:0000A97C>: GetString(165, Content) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(166, Type) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(166, Point_x) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(166, Point_y) failed !
20211126-202244<ERROR:0000A97C>: GetString(166, Content) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(167, Type) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(167, Point_x) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(167, Point_y) failed !
20211126-202244<ERROR:0000A97C>: GetString(167, Content) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(168, Type) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(168, Point_x) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(168, Point_y) failed !
20211126-202244<ERROR:0000A97C>: GetString(168, Content) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(169, Type) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(169, Point_x) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(169, Point_y) failed !
20211126-202244<ERROR:0000A97C>: GetString(169, Content) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(170, Type) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(170, Point_x) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(170, Point_y) failed !
20211126-202244<ERROR:0000A97C>: GetString(170, Content) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(171, Type) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(171, Point_x) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(171, Point_y) failed !
20211126-202244<ERROR:0000A97C>: GetString(171, Content) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(172, Type) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(172, Point_x) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(172, Point_y) failed !
20211126-202244<ERROR:0000A97C>: GetString(172, Content) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(173, Type) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(173, Point_x) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(173, Point_y) failed !
20211126-202244<ERROR:0000A97C>: GetString(173, Content) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(174, Type) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(174, Point_x) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(174, Point_y) failed !
20211126-202244<ERROR:0000A97C>: GetString(174, Content) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(175, Type) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(175, Point_x) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(175, Point_y) failed !
20211126-202244<ERROR:0000A97C>: GetString(175, Content) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(176, Type) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(176, Point_x) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(176, Point_y) failed !
20211126-202244<ERROR:0000A97C>: GetString(176, Content) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(177, Type) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(177, Point_x) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(177, Point_y) failed !
20211126-202244<ERROR:0000A97C>: GetString(177, Content) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(178, Type) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(178, Point_x) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(178, Point_y) failed !
20211126-202244<ERROR:0000A97C>: GetString(178, Content) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(179, Type) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(179, Point_x) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(179, Point_y) failed !
20211126-202244<ERROR:0000A97C>: GetString(179, Content) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(180, Type) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(180, Point_x) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(180, Point_y) failed !
20211126-202244<ERROR:0000A97C>: GetString(180, Content) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(181, Type) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(181, Point_x) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(181, Point_y) failed !
20211126-202244<ERROR:0000A97C>: GetString(181, Content) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(182, Type) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(182, Point_x) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(182, Point_y) failed !
20211126-202244<ERROR:0000A97C>: GetString(182, Content) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(183, Type) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(183, Point_x) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(183, Point_y) failed !
20211126-202244<ERROR:0000A97C>: GetString(183, Content) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(184, Type) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(184, Point_x) failed !
20211126-202244<ERROR:0000A97C>: GetInteger(184, Point_y) failed !
20211126-202244<ERROR:0000A97C>: GetString(184, Content) failed !
20211126-202248<DEBUG:0000A97C>: KGLOG_PROCESS_ERROR(nOffset < nSize) at line 65 in s_GoNextLine
20211126-202248<ERROR:0000A97C>: GetString(366, 2) failed !
20211126-202251<DEBUG:0000A97C>: KGLOG_PROCESS_ERROR(nOffset < nSize) at line 65 in s_GoNextLine
20211126-202251<ERROR:0000A97C>: GetString(366, 2) failed !
20211126-202255<DEBUG:0000A97C>: KGLOG_PROCESS_ERROR(nOffset < nSize) at line 65 in s_GoNextLine
20211126-202255<ERROR:0000A97C>: GetString(366, 2) failed !
20211126-202256<DEBUG:0000A97C>: KGLOG_PROCESS_ERROR(nOffset < nSize) at line 65 in s_GoNextLine
20211126-202256<ERROR:0000A97C>: GetString(366, 2) failed !
20211126-202258<DEBUG:0000A97C>: KGLOG_PROCESS_ERROR(nOffset < nSize) at line 65 in s_GoNextLine
20211126-202258<ERROR:0000A97C>: GetString(366, 2) failed !
20211126-202300<DEBUG:0000A97C>: KGLOG_PROCESS_ERROR(nOffset < nSize) at line 65 in s_GoNextLine
20211126-202300<ERROR:0000A97C>: GetString(366, 2) failed !
20211126-202318<DEBUG:0000A97C>: KGLOG_PROCESS_ERROR(nOffset < nSize) at line 65 in s_GoNextLine
20211126-202318<ERROR:0000A97C>: GetString(366, 2) failed !
